Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.130687866786487694e+00	-6.979688266845898714e-02	-1.550503381662373011e-02	-2.827943164630193906e-01	2.890166853516055578e-03	9.916418473589895359e-04	8.423321757691922818e-01	-3.513549975709758140e-03	-2.054219346520474456e-04
-1.133204236233796847e+00	-7.048610114259826198e-02	-1.498778921339643036e-02	-2.825221151792446372e-01	2.758297004793710833e-03	1.206702564342225980e-03	8.421961824584672796e-01	-3.547405647900023131e-03	-1.225853320094486671e-04
-1.135744385619866570e+00	-7.115445264215343457e-02	-1.443141420271947493e-02	-2.822429343753909414e-01	2.641722153372892071e-03	1.647300822603891017e-03	8.420601891477520473e-01	-3.567939792773509172e-03	1.611578115568772988e-04
-1.138307561733966633e+00	-7.180043481868930710e-02	-1.384593469507209434e-02	-2.819777126116951860e-01	2.585455122637352922e-03	2.663061303421551760e-03	8.419173961714985222e-01	-3.579988934928824990e-03	2.219558622864332541e-04
-1.140893011365367693e+00	-7.242378960008206967e-02	-1.325496678321584111e-02	-2.817124908480490575e-01	2.558575421054398811e-03	2.810718834224891233e-03	8.417814028607736310e-01	-3.587920589559422200e-03	3.944301901255566588e-04
-1.143499766100273485e+00	-7.302264596343394087e-02	-1.259723099823894209e-02	-2.814472690843533575e-01	2.576119228200134115e-03	3.788976483243002361e-03	8.416454095500582877e-01	-3.584119704135813652e-03	5.543892903395753738e-04
-1.146127180329487238e+00	-7.359577806615670570e-02	-1.193161919367567540e-02	-2.811750678005786042e-01	2.641547319066388927e-03	4.249807400972896790e-03	8.415026165737952146e-01	-3.582367684223376671e-03	5.007192573808696024e-04
-1.148774070436147543e+00	-7.414188325848246330e-02	-1.120365098042127965e-02	-2.809028665168039063e-01	2.719433284240742755e-03	4.702398321703661101e-03	8.413666232630798714e-01	-3.571868514388965628e-03	6.699230885148802156e-04
-1.151439683209524167e+00	-7.465954828830451140e-02	-1.047528788924778284e-02	-2.806306652330292084e-01	2.857965436004534197e-03	5.263116022651047679e-03	8.412306299523549802e-01	-3.564228890747279336e-03	5.678275612926459576e-04
-1.154122835032755923e+00	-7.514808189100544156e-02	-9.686067330009389201e-03	-2.803445049090965147e-01	2.984989141003562951e-03	5.335477992425104697e-03	8.410946366416396369e-01	-3.557343168595442431e-03	5.773013658070773454e-04
-1.156822557492046988e+00	-7.560520135720422141e-02	-8.884633475939911901e-03	-2.800513650650352515e-01	3.122418062540309371e-03	5.235487224259829930e-03	8.409586433309147457e-01	-3.559420755744521856e-03	3.559350847148154439e-04
-1.159537774572069191e+00	-7.603069777137201612e-02	-8.027519442078150450e-03	-2.797582252209739329e-01	3.236558968607413083e-03	4.987337996298188587e-03	8.408158503546612206e-01	-3.570237689827241746e-03	2.114934266135889539e-04
-1.162267302655960677e+00	-7.642228227955344400e-02	-7.169620438777214028e-03	-2.794581058568337273e-01	3.325209977063228912e-03	4.336908683983806655e-03	8.406798570439363294e-01	-3.594667352110509761e-03	-8.674941371123958854e-05
-1.165010065728393052e+00	-7.678159548310711791e-02	-6.305231078406016605e-03	-2.791510069725648968e-01	3.356396010717748509e-03	3.522667344560595059e-03	8.405438637332209861e-01	-3.635232266099449727e-03	-3.728368330621448538e-04
-1.167764664969439536e+00	-7.710557431170615705e-02	-5.398329719677979859e-03	-2.788508876084246357e-01	3.323561784582932527e-03	2.223984626753433037e-03	8.404010707569579131e-01	-3.695028225910162913e-03	-7.569541735692412315e-04
-1.170530131965304088e+00	-7.739707599243583758e-02	-4.562079599141634877e-03	-2.785437887241558053e-01	3.189579473883889706e-03	7.298950622280321252e-04	8.402582777807043879e-01	-3.776649310111002827e-03	-1.165678778708351560e-03
-1.173305067896059706e+00	-7.765303131039484608e-02	-3.608756152924522294e-03	-2.782576284002231115e-01	2.952680705438633785e-03	-1.324624473564395321e-03	8.401086851389127919e-01	-3.882981130196149194e-03	-1.629026627422647472e-03
