theta1	omega1	alpha1	theta2	omega2	alpha2
-4.260488152226786340e+00	-2.045075109104719679e+00	-2.212854857395768704e+00	-1.474690520612438149e+01	-2.889631745630998338e+00	-1.418732273901468943e+00
-4.270732083387128064e+00	-2.056212598545060111e+00	-2.245730740631870503e+00	-1.476135888358979820e+01	-2.897204687618704977e+00	-1.613341936305459967e+00
-4.281032052415580047e+00	-2.067508451237814793e+00	-2.276246957886542077e+00	-1.477585282394434607e+01	-2.905752149749845081e+00	-1.808884604231479898e+00
-4.291388820783761382e+00	-2.078950736386936615e+00	-2.304345763493529375e+00	-1.479039190696751049e+01	-2.915278699135578133e+00	-2.005321967339796174e+00
-4.301803089442479688e+00	-2.090527225238433484e+00	-2.329965271287846917e+00	-1.480498103445014380e+01	-2.925788697317860620e+00	-2.202609665491308988e+00
-4.312275497618602849e+00	-2.102225370724082776e+00	-2.353040138546475646e+00	-1.481962512965238332e+01	-2.937286270278155254e+00	-2.400697964726305145e+00
-4.322806621102526670e+00	-2.114032290627252841e+00	-2.373501571389851961e+00	-1.483432913592925573e+01	-2.949775281936910520e+00	-2.599531741819191666e+00
-4.333396970324906228e+00	-2.125934753906300045e+00	-2.391278648630986936e+00	-1.484909801497608228e+01	-2.963259311779264937e+00	-2.799052161761665047e+00
-4.344046988624192807e+00	-2.137919161823372605e+00	-2.406294922439201400e+00	-1.486393674544571475e+01	-2.977741625677219783e+00	-2.999192293306123247e+00
-4.354757050602292345e+00	-2.149971525729178268e+00	-2.418470861792457072e+00	-1.487885032175050348e+01	-2.993225142275468986e+00	-3.199880207742126004e+00
-4.365527460074228649e+00	-2.162077450467187134e+00	-2.427723209875466637e+00	-1.489384375214775424e+01	-3.009712406420989694e+00	-3.401038125160994241e+00
-4.376358448015213121e+00	-2.174222116546612238e+00	-2.433966269987877240e+00	-1.490892205684014904e+01	-3.027205561002977330e+00	-3.602584211153498472e+00
-4.387250169924206133e+00	-2.186390278241377771e+00	-2.437113037485232780e+00	-1.492409026497097102e+01	-3.045706341170317799e+00	-3.804434152296835236e+00
-4.398202704033590038e+00	-2.198566231535191484e+00	-2.437068616358146755e+00	-1.493935341330626265e+01	-3.065216025843978009e+00	-4.006491834578810085e+00
-4.409216049037912200e+00	-2.210733794686361886e+00	-2.433736211401082983e+00	-1.495471654401212191e+01	-3.085735406937237801e+00	-4.208657783411808850e+00
-4.420290121591200716e+00	-2.222876293370557033e+00	-2.427015403544601213e+00	-1.497018470201439655e+01	-3.107264764925621758e+00	-4.410826704488727046e+00
-4.431424753823678842e+00	-2.234976546843286282e+00	-2.416805316700219919e+00	-1.498576293239150203e+01	-3.129803846723813177e+00	-4.612892658842156379e+00
-4.442619690796409060e+00	-2.247016870159647350e+00	-2.403001838850286731e+00	-1.500145627753383692e+01	-3.153351869803702634e+00	-4.814744487317284438e+00
-4.453874587813543506e+00	-2.258979038332433298e+00	-2.385495339026192596e+00	-1.501726977440371336e+01	-3.177907463802657428e+00	-5.016262048249245709e+00
-4.465189007686604761e+00	-2.270844276036559251e+00	-2.364174450158770924e+00	-1.503320845150334506e+01	-3.203468653934268939e+00	-5.217322402736272124e+00
-4.476562418036777125e+00	-2.282593246820241450e+00	-2.338926471187278366e+00	-1.504927732592871870e+01	-3.230032844817427584e+00	-5.417801298781569130e+00
-4.487994188771085469e+00	-2.294206046221213047e+00	-2.309635499103706024e+00	-1.506548140070757213e+01	-3.257596813305470462e+00	-5.617569029721153129e+00
-4.499483588704742409e+00	-2.305662180800700067e+00	-2.276182580525755839e+00	-1.508182566078837006e+01	-3.286156670224990695e+00	-5.816490713992834571e+00
-4.511029782683571909e+00	-2.316940558448552956e+00	-2.238446752764730263e+00	-1.509831506981720217e+01	-3.315707846530493885e+00	-6.014428522166326729e+00
-4.522631828751881855e+00	-2.328019486016497996e+00	-2.196309844892766705e+00	-1.511495456703504559e+01	-3.346245093406087001e+00	-6.211251097929789466e+00
-4.534288675432915916e+00	-2.338876674945883583e+00	-2.149648697213933701e+00	-1.513174906439486378e+01	-3.377762498010491665e+00	-6.406818083496318650e+00
-4.545999158001007068e+00	-2.349489211814010936e+00	-2.098338492930452048e+00	-1.514870344188790696e+01	-3.410253429433112604e+00	-6.600986699019358639e+00
-4.557761995475130057e+00	-2.359833559810145864e+00	-2.042254016612332634e+00	-1.516582254417690478e+01	-3.443710545871174755e+00	-6.793614239658154474e+00
-4.569575787957086632e+00	-2.369885563626452640e+00	-1.981273836248419684e+00	-1.518311117793397536e+01	-3.478125813936361777e+00	-6.984568985752048320e+00
-4.581439013912139480e+00	-2.379620455189170425e+00	-1.915272201008519914e+00	-1.520057410909243423e+01	-3.513490529617373515e+00	-7.173709410386209129e+00
-4.593350025934627823e+00	-2.389012836706865262e+00	-1.844124087940372192e+00	-1.521821605722496429e+01	-3.549795280732375602e+00	-7.360896908901167990e+00
-4.605307047886753935e+00	-2.398036688043715614e+00	-1.767705343080251623e+00	-1.523604169256989316e+01	-3.587029970714544991e+00	-7.545996117389222491e+00
-4.617308172564198010e+00	-2.406665382480105642e+00	-1.685897695236462823e+00	-1.525405563425145061e+01	-3.625183868619846983e+00	-7.728889639847920989e+00
-4.629351358735362965e+00	-2.414871695561707110e+00	-1.598579057503229706e+00	-1.527226244722620407e+01	-3.664245637493865893e+00	-7.909449101564177909e+00
-4.641434426980772798e+00	-2.422627799004107185e+00	-1.505630578346881521e+00	-1.529066663676061744e+01	-3.704203317297207310e+00	-8.087555775522332624e+00
-4.653555056987888072e+00	-2.429905276817945214e+00	-1.406936085918232493e+00	-1.530927264597431758e+01	-3.745044372537622124e+00	-8.263099285759608392e+00
-4.665710785839611852e+00	-2.436675149095708370e+00	-1.302385734700010289e+00	-1.532808485602091508e+01	-3.786755779467901650e+00	-8.435993297444383643e+00
-4.677899004798828919e+00	-2.442907884973822608e+00	-1.191868768838048709e+00	-1.534710758261330277e+01	-3.829324061420906755e+00	-8.606142588609145605e+00
-4.690116955498703000e+00	-2.448573412408935557e+00	-1.075279497011251806e+00	-1.536634507112585979e+01	-3.872735306253484389e+00	-8.773468876324386656e+00
-4.702361727573186378e+00	-2.453641141648041479e+00	-9.525165847571770428e-01	-1.538580149527846608e+01	-3.916975241825886744e+00	-8.937908612990895563e+00
-4.714630257375563183e+00	-2.458079991679691378e+00	-8.234845016947929253e-01	-1.540548095902015824e+01	-3.962029354795318259e+00	-9.099426056561014775e+00
-4.726919325097910907e+00	-2.461858413486733621e+00	-6.880916107013490546e-01	-1.542538749400027420e+01	-4.007882955702416261e+00	-9.257988114858108020e+00
-4.739225551871789399e+00	-2.464944415158967672e+00	-5.462522317254752124e-01	-1.544552505701537903e+01	-4.054521247698890996e+00	-9.413585046932212208e+00
