# theta1	omega1	alpha1	theta2	omega2	alpha2
-4.245448035197467163e-01	5.931005025856961765e+00	-2.074905162539859571e+00	6.072268723325496831e-01	-6.168329658655807179e+00	-1.347947017925357649e+00
-4.373819757460015722e-01	6.058758743276598580e+00	-2.037478473501066034e+00	5.986919458306583230e-01	-6.093960840961813119e+00	-1.386224679692830586e+00
-4.499830137015820020e-01	6.185089041839432866e+00	-1.999258627079113060e+00	5.899195139359746376e-01	-6.017814922640468467e+00	-1.424032378162144230e+00
-4.623429935874925900e-01	6.309928408006953759e+00	-1.960254718966560894e+00	5.809125438484460391e-01	-5.940128792432346927e+00	-1.461359758984427604e+00
-4.744570502919940869e-01	6.433207543680282470e+00	-1.920476272410204244e+00	5.716740625423101241e-01	-5.861137669552135776e+00	-1.498197942076344935e+00
-4.863203792403024139e-01	6.554855413302675515e+00	-1.879933249020431241e+00	5.622071480017289957e-01	-5.781074167388510432e+00	-1.534539507785149137e+00
-4.979282392251797584e-01	6.674800780290752300e+00	-1.838636054984654766e+00	5.525149200951132711e-01	-5.700169175259816257e+00	-1.570378483284768922e+00
-5.092759559018257276e-01	6.792971904147066198e+00	-1.796595542362946274e+00	5.426005312378341383e-01	-5.618650605764173633e+00	-1.605710328578510815e+00
-5.203589236697369058e-01	6.909296379956685996e+00	-1.753823014449086282e+00	5.324671580166893126e-01	-5.536742716080311766e+00	-1.640531914728575291e+00
-5.311726089022290598e-01	7.023703587703039375e+00	-1.710330220736843820e+00	5.221179921711647243e-01	-5.454666880096397108e+00	-1.674841504355222721e+00
-5.417125530827895385e-01	7.136123159071871669e+00	-1.666129349834632789e+00	5.115562317541176851e-01	-5.372640150765278122e+00	-1.708638729319205352e+00
-5.519743747058589722e-01	7.246485273831581253e+00	-1.621233030648481677e+00	5.007850732638164937e-01	-5.290874866264744014e+00	-1.741924561049470022e+00
-5.619537726005419120e-01	7.354723178226890923e+00	-1.575654316919928188e+00	4.898077028688666013e-01	-5.209579096687548372e+00	-1.774701284194312834e+00
-5.716465286032024196e-01	7.460770362832136016e+00	-1.529406676718638058e+00	4.786272882868560230e-01	-5.128955069159246705e+00	-1.806972464931133615e+00
-5.810485094349089330e-01	7.564562461466266541e+00	-1.482503991521315845e+00	4.672469715776029764e-01	-5.049199276647868828e+00	-1.838742912773723592e+00
-5.901556700451151549e-01	7.666038980603275377e+00	-1.434960529254413419e+00	4.556698605658331958e-01	-4.970502498027144611e+00	-1.870018647457396543e+00
