theta1	omega1	alpha1	theta2	omega2	alpha2
2.849250367808460638e+00	-2.452436645187904052e+00	-1.484540750360520178e+01	1.611499376572501363e-01	-6.693097458121240351e+00	-2.299389206843488864e+01
2.836808094361444432e+00	-2.526742810543430195e+00	-1.488188815361286288e+01	1.274125368552357640e-01	-6.807878452370746736e+00	-2.292506646143374383e+01
2.823994204434200572e+00	-2.601108257505687860e+00	-1.486814476779818506e+01	9.310268397956214526e-02	-6.922111934402953359e+00	-2.277303997639592126e+01
2.810809051587694896e+00	-2.675268147579521028e+00	-1.479860339669812674e+01	5.822419467340982091e-02	-7.035357481443520022e+00	-2.252787886593523581e+01
2.797254384560632356e+00	-2.748929541023581447e+00	-1.466766503386861586e+01	2.278321345701818726e-02	-7.147124367462913241e+00	-2.217952120842392105e+01
2.783333483638658290e+00	-2.821771861644037926e+00	-1.446986281791214424e+01	-1.321154064777310330e-02	-7.256871998634342624e+00	-2.171805946646463781e+01
2.769051299235687047e+00	-2.893447837778301501e+00	-1.420002442610734761e+01	-4.974852356777649531e-02	-7.364011206150877342e+00	-2.113404418499203530e+01
2.754414580162507509e+00	-2.963585631583792512e+00	-1.385354245178882593e+01	-8.681313178258542873e-02	-7.467907781475250140e+00	-2.041899937311291069e+01
2.739431988420616193e+00	-3.031792171632299748e+00	-1.342657665422620994e+01	-1.243874908245376498e-01	-7.567888312459116307e+00	-1.956580993442730687e+01
2.724114193704572973e+00	-3.097657751370855195e+00	-1.291634868398068647e+01	-1.624502805176304410e-01	-7.663248478011529308e+00	-1.856929568348232351e+01
2.708473942773451881e+00	-3.160762028764569020e+00	-1.232143603571171298e+01	-2.009766056984172711e-01	-7.753264086253532916e+00	-1.742679368570179577e+01
2.692526094984271090e+00	-3.220681451803202755e+00	-1.164203196849189226e+01	-2.399379296891658297e-01	-7.837204937281294193e+00	-1.613867541636454916e+01
