theta1	omega1	alpha1	theta2	omega2	alpha2
7.323427707083816074e-01	-2.071406510821560687e+00	-6.897344147444073315e+00	6.227011638064741117e-01	6.659030765074233083e-01	8.019433721381687974e-01
7.219094539839164826e-01	-2.105582039455010879e+00	-6.784386855400725835e+00	6.260373353221821979e-01	6.696938489035388908e-01	7.147668305642014275e-01
7.113068404207661954e-01	-2.139182400440827081e+00	-6.667067879382784668e+00	6.293913341524599581e-01	6.730357161809558120e-01	6.222111983964282445e-01
7.005378584728532143e-01	-2.172185798859514350e+00	-6.545390707502747318e+00	6.327608494566828723e-01	6.759017221286257593e-01	5.242508272924055746e-01
6.896055438458644771e-01	-2.204570524176635349e+00	-6.419379882102930424e+00	6.361434376283569003e-01	6.782648767156099767e-01	4.208896741388912233e-01
6.785130416019542476e-01	-2.236314996987263548e+00	-6.289067772887165120e+00	6.395365185866848101e-01	6.800982211486649165e-01	3.121426089882106680e-01
6.672636035655385989e-01	-2.267397872433623451e+00	-6.154514374051132108e+00	6.429373786620461440e-01	6.813749750295541308e-01	1.980639682558944514e-01
6.558605870442890673e-01	-2.297798131960878454e+00	-6.015790506109169655e+00	6.463431716304716135e-01	6.820686660054614547e-01	7.872299431056717367e-02
6.443074543718398939e-01	-2.327495161578970961e+00	-5.872986842609634550e+00	6.497509186040211215e-01	6.821532404750368928e-01	-4.578230350836065554e-02
6.326077690057709813e-01	-2.356468844147263653e+00	-5.726213473923735364e+00	6.531575128142883546e-01	6.816031990636395310e-01	-1.753258615916024610e-01
6.207651929536137647e-01	-2.384699672532856862e+00	-5.575603228649470111e+00	6.565597224514182484e-01	6.803937563380684228e-01	-3.097493925480421240e-01
6.087834839463435177e-01	-2.412168826581902348e+00	-5.421295739304014205e+00	6.599541939626953901e-01	6.785009546963515215e-01	-4.488832661076003205e-01
5.966664928773215415e-01	-2.438858231388914000e+00	-5.263453685732656595e+00	6.633374550272039816e-01	6.759017538476761455e-01	-5.925244919712895353e-01
5.844181586257560790e-01	-2.464750673647260193e+00	-5.102258164133218088e+00	6.667059211380121919e-01	6.725742001484503740e-01	-7.404424698767684276e-01
5.720425033093810008e-01	-2.489829887460488500e+00	-4.937906500262215559e+00	6.700559016940612622e-01	6.684975565614228454e-01	-8.923819924189047015e-01
5.595436277982580586e-01	-2.514080624490373506e+00	-4.770607230804898791e+00	6.733836057314547263e-01	6.636524113881159259e-01	-1.048069546704482491e+00
5.469257067322100818e-01	-2.537488706835446806e+00	-4.600583088240455254e+00	6.766851484992434385e-01	6.580207665055313182e-01	-1.207209098855003049e+00
5.341929825742661730e-01	-2.560041107310296660e+00	-4.428069485165906372e+00	6.799565593177870904e-01	6.515861628416340645e-01	-1.369483816599768033e+00
5.213497600001669730e-01	-2.581725997040743348e+00	-4.253311728417656923e+00	6.831937891888767433e-01	6.443337641941386806e-01	-1.534559525460565510e+00
5.084003995569592593e-01	-2.602532797548342547e+00	-4.076563602191299651e+00	6.863927193696627294e-01	6.362504476438615164e-01	-1.702086421369926938e+00
4.953493115872867891e-01	-2.622452209804495116e+00	-3.898084538964212697e+00	6.895491698170167494e-01	6.273248647094353814e-01	-1.871702543796402551e+00
4.822009494429447818e-01	-2.641476248686810635e+00	-3.718139622940725530e+00	6.926589085837816517e-01	6.175475110023143088e-01	-2.043033584388126656e+00
4.689598032332576438e-01	-2.659598255516674392e+00	-3.536995310880911347e+00	6.957176607217820941e-01	6.069107670429523260e-01	-2.215698459037923840e+00
4.556303928400059489e-01	-2.676812908727963514e+00	-3.354919502693746836e+00	6.987211182011668908e-01	5.954089383821629111e-01	-2.389308905944119488e+00
4.422172615330389189e-01	-2.693116218747838797e+00	-3.172177582372114557e+00	7.016649492274504851e-01	5.830382741741257924e-01	-2.563474914351900225e+00
4.287249690996743356e-01	-2.708505515660861729e+00	-2.989031974065483155e+00	7.045448082860972239e-01	5.697969779692242387e-01	-2.737804855845297425e+00
4.151580856303628275e-01	-2.722979426708582285e+00	-2.805739276372605673e+00	7.073563454876173884e-01	5.556852035014544500e-01	-2.911909826249598154e+00
4.015211847195825912e-01	-2.736537843064344333e+00	-2.622548547539963693e+00	7.100952167823270100e-01	5.407050387670511160e-01	-3.085404865895895909e+00
